sqft,bedrooms,bathrooms,age_years,price
2687.834133116334,4,1,49,415421.48178114224
3640.248303393514,2,1,73,517910.8875200681
3214.8999158581773,5,3,70,495515.9624744843
1288.2251649670716,1,2,11,187780.52014575124
1550.581997189289,1,3,65,213973.08480300472
3557.4370588869165,4,2,19,598976.5826056355
518.4285659795115,1,2,29,95922.02837321738
3374.299464339682,3,3,79,477864.5245005752
3289.743000632162,4,3,60,517475.7186165102
2137.7723349530224,2,3,59,314947.65136606444
1560.6134938675973,2,1,20,255315.51345633712
1474.4896423527066,2,3,43,221212.84230821318
1392.043556789436,1,2,71,195614.2569745728
2057.7670705892633,5,2,13,373087.9184272376
2265.9189063528365,4,3,38,393042.9474385504
2437.2407322607237,3,2,2,431036.95200484846
3984.2509920203743,1,1,58,543027.3153373633
3274.316717248136,5,2,26,545001.805239398
2677.6273030440693,1,3,61,414448.95105764887
3961.360516886597,2,3,15,633421.3812495513
1253.5804438245964,3,1,65,196597.6066345234
1060.742118502456,2,2,70,151350.0267848232
2643.888614955608,4,2,77,393436.16944715433
653.7970278648418,4,1,41,126419.15560740112
624.8809757075865,1,1,49,91232.43760373353
2302.1108709497958,5,2,40,410579.044370254
2131.721088638512,2,2,26,362601.51633583603
3710.087206174983,1,2,48,531439.724757453
2702.2918907185367,1,2,54,404500.74814922025
2299.4117630982983,5,3,39,380001.54250797635
2239.0570238772652,2,2,11,367043.1326363802
1366.302227095658,3,3,19,249551.49248007382
541.2790893987706,1,1,36,82732.82807052003
1173.4075039485872,5,3,58,221268.69625454303
2922.112423086437,5,3,33,517569.33893443947
1202.1235339544833,5,3,59,210875.00522833815
1793.3770871077236,4,2,49,308372.4028284577
513.0698471822658,3,3,72,88150.7957773407
3405.1670543061095,2,3,30,537753.3801407262
1040.6137837150395,5,3,39,193851.80891734795
1436.597565973249,3,3,9,279774.65344909846
3581.1625389329,1,2,10,563843.2905685834
2284.267834539481,3,1,22,381788.92073953536
3465.0258622805427,3,3,77,520517.8440419293
2739.010084298842,1,1,12,418359.71389989095
3096.1983157665,3,3,1,532407.137527711
820.2346177206598,1,1,64,99705.82175866043
2394.0033748177107,2,1,12,392740.5009073697
2277.2028270512246,5,3,0,456897.17529192346
3549.6878184250822,3,1,56,523345.7122702861
1764.4242065495516,2,1,55,283641.62014394044
2593.6442352252457,4,3,69,364440.91119213775
707.3807482092627,4,3,63,145023.1467284147
1856.7113038875505,1,2,75,236194.52081623342
1630.6272119037233,1,3,68,259174.5393709975
1025.6990517465815,3,1,47,147906.17260463943
3357.1833633667648,3,2,66,520615.6087868822
1828.0616004260937,3,3,22,304746.2698331273
3925.6175954392756,4,2,40,605846.1162941073
2564.970925537136,1,1,2,416119.2443128453
2617.6968884044795,4,3,35,452614.51840037055
2732.9880327591627,4,2,58,419025.01880466193
2867.575853344759,2,2,57,462477.5951412734
1027.7580670892903,2,2,51,150521.89830789377
2041.0971351586563,5,2,4,404312.51452321565
1338.4738664033316,3,1,9,223357.39705164006
1908.7440433639358,4,2,25,317849.51318402647
838.4643287611096,3,1,59,124873.17012170464
3887.398178670875,3,1,38,582513.284901713
1252.5141307455801,4,1,75,191653.86358871165
2851.1780691394974,1,1,75,356490.67885610455
1551.470285176746,5,2,14,302133.5274546989
3559.2695915232657,4,2,51,550634.6601082932
2817.7515841845884,5,1,48,438847.573813121
960.6553553290701,1,2,46,140417.20928430915
3457.7601230609353,3,2,33,542895.3307373666
3807.3185990074285,3,2,42,584730.0642829073
3663.7087586857438,2,1,49,555431.9811145609
2494.0170175074704,4,1,25,415478.5638460582
1009.1098381632441,2,3,9,200810.47512640976
1173.6222323891634,4,2,45,225886.64951285796
3747.669896605835,4,3,71,579220.9024147191
2433.1427068354233,5,3,23,446067.8245212257
1131.9337445711908,4,3,23,220108.00016166444
3594.199129687645,3,2,8,595775.6133344752
2745.5009682786826,4,3,51,453868.01884887955
2493.9299606583277,3,3,1,428075.99941007025
1817.0074264547204,5,3,18,322458.3405128302
1938.3434875499545,4,3,17,332976.99968464224
1338.2122443864569,3,1,14,220406.09397748858
633.2005034193369,4,1,72,102643.34219123606
3566.7658283824485,5,3,76,559168.0640843664
2137.0557588493366,5,2,53,351670.7953727306
2416.723197248073,4,2,20,419596.94437077444
1627.571584230788,1,1,45,239997.6569471864
3129.637219492248,4,2,76,495440.0773606279
588.1890478061613,3,1,52,82693.45334841932
1802.6484539782139,5,3,68,311172.8697941738
606.2260303443907,5,1,56,125663.7764201148
930.1223577175327,4,1,44,147073.28387499935
3885.018823890787,2,3,71,578770.4425608149
2802.1625551348006,4,2,44,437405.6358521662
1998.7708623631845,1,1,55,273418.12396682205
2333.0903776866808,5,1,2,423612.12076097715
3554.8322299767106,2,1,36,511996.6976741073
1704.7373344860916,2,3,61,244846.24821255772
2566.0184380140013,3,2,50,386819.4380831152
2892.895306688403,4,2,54,458081.88495961425
1743.9482195822923,1,2,61,231759.5836170703
2316.8447027359653,2,1,46,349262.37773264386
3178.3658414748293,3,1,7,503321.2432638064
3682.1275989669257,3,3,65,555580.6131594384
1028.7179732688542,3,1,40,176301.4200335649
3766.9678730759997,5,2,37,618155.5735899959
518.1260303540125,3,1,32,99344.70608311355
3135.4212625921386,5,3,30,532709.2999368727
3336.843906110358,4,1,16,559653.6327601902
978.6741803990353,5,3,59,207071.4081576554
1966.162778196148,4,1,64,295151.6839264495
3353.39697298266,4,3,39,535951.0351037417
549.9491638961372,3,2,8,114539.26295790436
2699.6168175320176,5,2,48,470374.665474085
3275.5828033431194,2,2,2,518344.85581708245
2295.51253987773,5,1,12,383960.55605326174
3040.472971928805,3,2,14,502825.54481751577
1292.4821894400043,4,1,16,253715.92060121408
1194.824017974355,2,2,41,169967.89696192552
1770.9443269262306,2,2,14,294555.0175599967
1127.9210964850129,2,3,40,166751.61649837493
1711.2150368936746,1,1,64,216074.6765683207
3818.4342149378517,5,2,68,620603.6614100182
2506.664511638923,4,2,79,381269.156728779
1690.2382359729395,3,2,65,251619.7358580698
1450.3361693307484,4,3,77,231979.16197513152
3832.138217476328,4,3,66,601201.7520732761
2055.6737337648965,4,3,44,346584.0293103707
3931.3816280820633,2,3,5,618966.223762539
2304.3293418719486,3,3,62,341403.065175273
2324.0814515917837,1,2,14,397342.2254168224
3637.891833006003,4,1,9,584057.411166636
3099.6859637526386,1,2,41,479976.71424549946
2532.2850234848793,4,3,26,423307.943393513
1993.2732634269041,4,1,52,333755.25578157284
3573.6575079639815,3,1,75,531402.8463471165
1940.7615246741095,2,3,0,338944.4813485729
3729.6585165896363,4,3,23,645987.9319709119
740.5037324265154,2,1,68,75721.49669901251
2004.9890166540706,2,3,12,338631.2622297099
2318.3018695725063,4,3,17,396332.00787529285
3828.283684536474,3,3,34,598437.7171770907
1378.4973633266536,1,3,43,205938.64229675013
3321.1370154173806,4,3,61,510082.7526121767
2867.6491999950767,4,1,61,433471.18915188673
3009.8006649839303,3,2,78,466594.68437134277
2703.677639940712,2,3,28,408204.4559123435
3900.4624796155304,2,1,2,597730.2113876499
1664.385107239637,1,3,70,218435.58222003878
1893.964458877797,1,3,50,276124.9180391297
1210.1911327473067,5,3,51,242771.72902523456
677.4641934529468,4,1,67,115736.58648505693
1245.178682413687,4,3,23,250482.23458722376
